TractFIPS,CityFIPS,MeasureId,Data_Value
09001071300,0908000,ARTHRITIS,0.222
09001071400,0908000,ARTHRITIS,0.18600000000000003
09001071600,0908000,ARTHRITIS,0.21600000000000003
09001071900,0908000,ARTHRITIS,0.19
09001072000,0908000,ARTHRITIS,0.2
09001072100,0908000,ARTHRITIS,0.22699999999999998
09001072200,0908000,ARTHRITIS,0.248
09001072300,0908000,ARTHRITIS,0.215
09001072400,0908000,ARTHRITIS,0.19699999999999998
09001072500,0908000,ARTHRITIS,0.231
09001072600,0908000,ARTHRITIS,0.221
09001072700,0908000,ARTHRITIS,0.209
09001072800,0908000,ARTHRITIS,0.22699999999999998
09001072900,0908000,ARTHRITIS,0.21600000000000003
09001073000,0908000,ARTHRITIS,0.233
09001073100,0908000,ARTHRITIS,0.28300000000000003
09001073200,0908000,ARTHRITIS,0.255
09001073300,0908000,ARTHRITIS,0.214
09001073400,0908000,ARTHRITIS,0.213
09001073500,0908000,ARTHRITIS,0.209
09001073600,0908000,ARTHRITIS,0.19699999999999998
09001073700,0908000,ARTHRITIS,0.24
09001073800,0908000,ARTHRITIS,0.188
09001073900,0908000,ARTHRITIS,0.23199999999999998
09001074000,0908000,ARTHRITIS,0.228
09001074300,0908000,ARTHRITIS,0.23800000000000002
09001074400,0908000,ARTHRITIS,0.239
09001257200,0908000,ARTHRITIS,0.2
09001070100,0908000,BINGE,0.18899999999999997
09001070200,0908000,BINGE,0.17
09001070300,0908000,BINGE,0.11199999999999999
09001070400,0908000,BINGE,0.17
09001070500,0908000,BINGE,0.126
09001070600,0908000,BINGE,0.138
09001070900,0908000,BINGE,0.135
09001071000,0908000,BINGE,0.152
09001071100,0908000,BINGE,0.153
09001071200,0908000,BINGE,0.139
09001071300,0908000,BINGE,0.142
09001071400,0908000,BINGE,0.165
09001071600,0908000,BINGE,0.12
09001071900,0908000,BINGE,0.17
09001072000,0908000,BINGE,0.163
09001072100,0908000,BINGE,0.159
09001072200,0908000,BINGE,0.151
09001072300,0908000,BINGE,0.163
09001072400,0908000,BINGE,0.16699999999999998
09001072500,0908000,BINGE,0.16899999999999998
09001072600,0908000,BINGE,0.17
09001072700,0908000,BINGE,0.17600000000000002
09001072800,0908000,BINGE,0.147
09001072900,0908000,BINGE,0.155
09001073000,0908000,BINGE,0.15
09001073100,0908000,BINGE,0.13
09001073200,0908000,BINGE,0.142
09001073300,0908000,BINGE,0.154
09001071100,0908000,STROKE,0.033
09001073400,0908000,BINGE,0.154
09001073500,0908000,BINGE,0.14400000000000002
09001073600,0908000,BINGE,0.14400000000000002
09001073700,0908000,BINGE,0.13699999999999998
09001073800,0908000,BINGE,0.151
09001073900,0908000,BINGE,0.133
09001074000,0908000,BINGE,0.129
09001074300,0908000,BINGE,0.131
09001074400,0908000,BINGE,0.131
09001257200,0908000,BINGE,0.162
09001070100,0908000,BPHIGH,0.276
09001070200,0908000,BPHIGH,0.305
09001070300,0908000,BPHIGH,0.324
09001070400,0908000,BPHIGH,0.226
09001070500,0908000,BPHIGH,0.282
09001070600,0908000,BPHIGH,0.35
09001070900,0908000,BPHIGH,0.35100000000000003
09001071000,0908000,BPHIGH,0.302
09001071100,0908000,BPHIGH,0.304
09001071200,0908000,BPHIGH,0.33899999999999997
09001071300,0908000,BPHIGH,0.35100000000000003
09001071400,0908000,BPHIGH,0.271
09001071600,0908000,BPHIGH,0.319
09001071900,0908000,BPHIGH,0.29600000000000004
09001072000,0908000,BPHIGH,0.3
09001072100,0908000,BPHIGH,0.316
09001072200,0908000,BPHIGH,0.337
09001072300,0908000,BPHIGH,0.314
09001072400,0908000,BPHIGH,0.295
09001072500,0908000,BPHIGH,0.305
09001072600,0908000,BPHIGH,0.292
09001072700,0908000,BPHIGH,0.305
09001072800,0908000,BPHIGH,0.354
09001072900,0908000,BPHIGH,0.337
09001073000,0908000,BPHIGH,0.335
09001073100,0908000,BPHIGH,0.397
09001073200,0908000,BPHIGH,0.349
09001073300,0908000,BPHIGH,0.321
09001073400,0908000,BPHIGH,0.316
